15.08	44.34	33.70
15.10	44.33	33.47
15.10	44.35	33.70
15.12	44.40	33.45
15.12	44.39	33.41
15.13	44.36	33.46
15.13	44.27	33.50
15.15	44.17	33.36
15.15	44.06	33.51
15.17	44.02	33.38
15.17	44.07	33.40
15.18	44.12	33.46
15.18	44.16	33.41
15.20	44.17	33.48
15.20	44.14	33.52
15.22	44.11	33.48
15.22	44.03	33.52
15.23	43.99	33.51
15.23	43.93	33.52
15.25	43.90	33.33
15.25	43.87	33.40
15.27	43.82	33.43
15.27	43.79	33.42
15.28	43.85	33.43
15.28	43.88	33.40
15.30	43.91	33.42
15.30	43.94	33.49
15.32	43.94	33.51
15.32	43.94	33.37
15.33	43.96	33.43
15.33	44.02	33.45
15.35	44.04	33.51
15.35	44.04	33.45
15.37	44.06	33.51
15.37	44.08	33.47
15.38	44.11	33.52
15.38	44.15	33.66
15.40	44.15	33.50
15.40	44.13	33.46
15.42	44.13	33.70
15.42	44.16	33.66
15.43	44.21	33.69
15.43	44.24	33.75
15.45	44.23	33.79
15.45	44.17	33.67
15.47	44.09	33.79
15.47	43.98	33.77
15.48	43.84	33.80
15.48	43.79	33.73
15.50	43.75	33.90
15.50	43.73	33.78
15.52	43.69	33.69
15.52	43.63	33.71
15.53	43.51	33.69
15.53	43.43	33.70
15.55	43.39	33.70
15.55	43.34	33.71
15.57	43.31	33.69
15.57	43.30	33.72
15.58	43.29	33.47
15.58	43.33	33.52
15.60	43.34	33.37
15.60	43.29	33.51
15.62	43.24	33.46
15.62	43.21	33.51
15.63	43.18	33.47
15.63	43.10	33.43
15.65	43.01	33.65
15.65	42.92	33.52
15.67	42.84	33.46
15.67	42.82	33.52
15.68	42.81	33.45
15.68	42.84	33.43
15.70	42.85	33.47
15.70	42.85	33.52
15.72	42.80	33.38
15.72	42.68	33.41
15.73	42.51	33.38
15.73	42.35	33.41
15.75	42.19	33.29
15.75	42.05	33.43
15.77	41.97	33.09
15.77	41.87	33.03
15.78	41.87	33.07
15.78	41.94	33.03
15.80	41.95	33.12
15.80	41.89	33.03
15.82	41.82	33.05
15.82	41.71	33.03
15.83	41.63	33.06
15.83	41.56	32.83
15.85	41.49	33.06
15.85	41.45	32.65
15.87	41.42	32.85
15.87	41.37	32.84
15.88	41.27	32.56
15.88	41.16	32.63
15.90	41.18	32.68
15.90	41.27	32.52
15.92	41.37	32.68
15.92	41.44	32.51
15.93	41.48	32.67
15.93	41.48	32.51
15.95	41.49	32.67
15.95	41.49	32.43
15.97	41.55	32.67
15.97	41.63	32.52
15.98	41.72	32.67
15.98	41.74	32.63
16.00	41.80	32.87
16.00	41.91	32.81
16.02	41.99	32.85
16.02	42.04	32.82
16.03	42.09	32.85
16.03	42.07	32.89
16.05	41.99	32.95
16.05	41.77	32.91
16.07	41.51	32.85
16.07	41.22	32.83
16.08	40.95	32.67
16.08	40.74	32.54
16.10	40.62	32.67
16.10	40.63	32.69
16.12	40.78	32.67
16.12	41.01	32.58
16.13	41.21	32.55
16.13	41.34	32.58
16.15	41.39	32.87
16.15	41.39	32.66
16.17	41.45	32.63
16.17	41.54	32.87
16.18	41.59	32.83
16.30	41.17	32.85
16.32	41.26	32.86
16.45	38.64	32.30
16.48	38.39	31.87
16.48	38.31	31.78
16.50	38.25	31.74
16.50	38.29	31.70
16.52	38.43	31.55
16.52	38.57	31.49
16.53	38.66	31.46
16.53	38.73	31.58
16.55	38.76	31.55
16.55	38.72	31.64
16.57	38.63	31.72
16.57	38.53	31.55
16.58	38.49	31.45
16.58	38.50	31.46
16.60	38.55	31.33
16.60	38.57	31.44
16.62	38.54	31.42
16.62	38.50	31.35
16.63	38.42	31.34
16.63	38.36	31.16
16.65	38.34	31.13
16.65	38.40	31.17
16.67	38.48	31.31
16.67	38.59	31.17
16.68	38.68	31.11
16.68	38.72	31.18
16.70	38.64	31.12
16.70	38.52	31.16
16.72	38.45	31.12
16.72	38.35	31.37
16.73	38.23	31.11
16.73	38.14	31.08
16.75	38.08	31.12
16.75	38.08	31.07
16.77	38.17	31.13
16.77	38.24	31.08
16.78	38.24	31.03
16.78	38.19	31.17
16.80	38.16	31.11
16.80	38.18	31.18
16.82	38.20	31.31
16.82	38.19	31.17
16.83	38.17	31.04
16.83	38.11	31.07
16.85	38.05	31.03
16.85	38.01	31.09
16.87	37.96	31.08
16.87	37.92	31.08
16.88	37.87	31.04
16.88	37.82	31.08
16.90	37.76	30.98
16.90	37.68	31.08
16.92	37.61	31.00
16.92	37.60	30.99
16.93	37.59	30.81
16.93	37.58	30.70
16.95	37.55	30.79
16.95	37.55	30.79
16.97	37.57	30.69
16.97	37.57	30.67
16.98	37.59	30.81
16.98	37.64	30.77
17.00	37.66	30.70
17.00	37.67	30.93
