seed,row,source,x,f,inclusion,reason
61003,26,population,"[0.0841665121838716, 58.67566312013857, 0.722746603800058, 12.660246739684535]","[0.15467784373310672, 0.20659523757011203, 0.4753634347695364]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,27,population,"[0.12090712047234148, 64.19453917516243, 0.7304109941245734, 12.662095224195232]","[0.020073665968591784, 0.31259869300155696, 0.7701609772325987]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,28,population,"[0.13127702069173786, 57.605155040169045, 0.82826164569805, 12.843567203868993]","[0.08719436080493241, 0.29645998264747936, 0.7219523838898412]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,29,population,"[0.07462339749861595, 60.60931734093549, 0.7584256122010291, 12.655086465491147]","[0.1402663952994768, 0.18960208877285714, 0.4311394205127147]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,30,population,"[0.12772009858682865, 66.80595597038837, 0.6975333077253107, 12.74125379996531]","[0.00812071868444575, 0.3555180654417655, 0.885982636995701]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,31,population,"[0.09148182540042017, 64.4668961606526, 0.7436033845826252, 12.831804316531295]","[0.038637006057707146, 0.23805197546971513, 0.5690996223335708]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,32,population,"[0.17401699789148775, 63.74974725095282, 0.4730618852001538, 12.996025421024262]","[0.009469536743608602, 0.49046822505842996, 1.247509317081692]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,33,population,"[0.15707364194100737, 59.14648433595587, 0.6861334195973334, 12.42390448542102]","[0.040657282158832846, 0.3674684368934755, 0.9157439216974806]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,1,returned,"[0.07012355630464477, 55.92699416297173, 0.2700580761966968, 0.7670526690146426]","[0.27391010633441504, 0.18914579380430022, 0.4157578683183273]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,2,returned,"[0.19260077496493302, 68.71352494701512, 0.12894916010191393, 8.967166473569447]","[0.0035234386070778913, 0.6013407286569235, 1.54182299594184]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,3,returned,"[0.19260077496493302, 68.71352494701512, 0.12894916010191393, 8.967166473569447]","[0.0035234386070778913, 0.6013407286569235, 1.54182299594184]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,4,returned,"[0.15357379731270843, 67.42580602227254, 0.25647854186807073, 3.587315497272116]","[0.004232297675387843, 0.4591219000466974, 1.1638637010559372]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,5,returned,"[0.11022758550017163, 68.23790368232507, 0.13222560122177832, 7.5728880158038265]","[0.007519209660758635, 0.3615658446362689, 0.9022289019733419]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,6,returned,"[0.07012355630464477, 55.92699416297173, 0.2700580761966968, 0.7670526690146426]","[0.27391010633441504, 0.18914579380430022, 0.4157578683183273]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,7,returned,"[0.07406347508351872, 65.04992795206918, 0.27135211165786005, 1.4417775901514198]","[0.0560264951368733, 0.20909414165248325, 0.490235850085683]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,8,returned,"[0.07186056250807835, 57.06467819164099, 0.24121224954531822, 5.9464906775215605]","[0.22400768657355674, 0.19458836161781431, 0.43619941048249483]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,9,returned,"[0.07043458716741795, 57.240968952218815, 0.25076432447874386, 0.8016601666972455]","[0.23333595619377392, 0.1887012117157185, 0.4193869998659456]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,10,population,"[0.07012355630464477, 55.92699416297173, 0.2700580761966968, 0.7670526690146426]","[0.27391010633441504, 0.18914579380430022, 0.4157578683183273]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,11,population,"[0.19260077496493302, 68.71352494701512, 0.12894916010191393, 8.967166473569447]","[0.0035234386070778913, 0.6013407286569235, 1.54182299594184]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,12,population,"[0.16797740214132909, 64.79431769859663, 0.18896088779717682, 3.5513712650394726]","[0.0076055683469231595, 0.49163581198927675, 1.2507634330169595]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,13,population,"[0.07012355630464477, 55.927088501747754, 0.2709793167407168, 0.7671464211028867]","[0.2742123228389401, 0.1891757719647949, 0.41580027161986854]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,14,population,"[0.19260482808077775, 68.71303666576512, 0.12894916010191393, 8.967166473569447]","[0.003523797394412332, 0.6013466157100487, 1.5418387460660643]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,15,population,"[0.19185460683342914, 67.58203290484235, 0.14060211814983364, 7.25420997505544]","[0.003617662824208767, 0.6010981980082559, 1.5425307202593586]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,16,population,"[0.07012355630464477, 55.92706936125093, 0.2709978918051649, 0.7671235785542543]","[0.2742189716637054, 0.18917639196456712, 0.41580109823105305]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,17,population,"[0.19260077496493302, 68.71352494701512, 0.12894916010191393, 8.967166473569447]","[0.0035234386070778913, 0.6013407286569235, 1.54182299594184]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,18,population,"[0.07012355630464477, 55.927088501747754, 0.2709793167407168, 0.7671464211028867]","[0.2742123228389401, 0.1891757719647949, 0.41580027161986854]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,19,population,"[0.15357379731270843, 67.42580602227254, 0.25647854186807073, 3.587315497272116]","[0.004232297675387843, 0.4591219000466974, 1.1638637010559372]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,20,population,"[0.11022758550017163, 68.23790368232507, 0.13222560122177832, 7.5728880158038265]","[0.007519209660758635, 0.3615658446362689, 0.9022289019733419]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,21,population,"[0.16204367726615784, 58.48500786867987, 0.2522698772455963, 3.83680275758003]","[0.043984523228720346, 0.38784495556099263, 0.9701056731126302]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,22,population,"[0.07012355630464477, 55.92699416297173, 0.2700580761966968, 0.7670526690146426]","[0.27391010633441504, 0.18914579380430022, 0.4157578683183273]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,23,population,"[0.11856000871684713, 57.15983912762916, 0.26237408990169825, 1.3693099084455174]","[0.10601662134023905, 0.27489455024281695, 0.6626393989087742]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,24,population,"[0.09346651055211934, 63.700630267450464, 0.16358447774207152, 3.5465620882812137]","[0.04075376390087034, 0.2632230461020137, 0.6363971554115959]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,25,population,"[0.10099873284023198, 56.799386082574784, 0.20603904930723044, 5.688190571270113]","[0.1454928333250067, 0.24872405196047015, 0.5890943351861161]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,26,population,"[0.12934106598036219, 61.44951603849626, 0.23969201910581434, 3.1169761597543024]","[0.033945523722424674, 0.3334089255683469, 0.8249557412483721]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,27,population,"[0.07406347508351872, 65.04992795206918, 0.27135211165786005, 1.4417775901514198]","[0.0560264951368733, 0.20909414165248325, 0.490235850085683]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,28,population,"[0.07186056250807835, 57.06467819164099, 0.24121224954531822, 5.9464906775215605]","[0.22400768657355674, 0.19458836161781431, 0.43619941048249483]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,29,population,"[0.07012355630464477, 55.9270445495246, 0.2708223551099598, 0.7671008836364805]","[0.2741615260480766, 0.18917066932669585, 0.4157929754586929]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,30,population,"[0.07043458716741795, 57.240968952218815, 0.25076432447874386, 0.8016601666972455]","[0.23333595619377392, 0.1887012117157185, 0.4193869998659456]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,31,population,"[0.14925033129296322, 61.71681873452989, 0.21418658803795887, 3.361878132199094]","[0.023167757269288266, 0.3943377296542462, 0.9889781714663451]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,32,population,"[0.1589719497918004, 60.83754692834591, 0.13166416283817103, 2.687908977647669]","[0.025216505345161035, 0.42967504205557033, 1.0835270536825263]",INCLUDED_BEFORE_EXACT_DEDUP,
61004,33,population,"[0.09179240737977268, 56.675749771817834, 0.23170769408437225, 5.641454918010236]","[0.17074751481756292, 0.22695090121421996, 0.52839311618642]",INCLUDED_BEFORE_EXACT_DEDUP,
61005,1,returned,"[0.07022135274398865, 55.20578355526896, 0.17173427860545387, 0.4219339994707009]","[0.26594714832529864, 0.18802280494268397, 0.413736741567503]",INCLUDED_BEFORE_EXACT_DEDUP,
61005,2,returned,"[0.07018314711424696, 50.95792795077908, 0.15605979106714948, 0.39608542338192765]","[0.3803920594806317, 0.1921926690267648, 0.4082692185684976]",INCLUDED_BEFORE_EXACT_DEDUP,
