h_id,c_id,exact_classification,h_f1,h_f2,h_f3,c_f1,c_f2,c_f3,delta_f1_C_minus_H,delta_f2_C_minus_H,delta_f3_C_minus_H,abs_delta_f1,abs_delta_f2,abs_delta_f3,tau_f1,tau_f2,tau_f3,near_tie_f1,near_tie_f2,near_tie_f3,near_tie_objective_count_pair,pair_has_near_tie,strict_improvement_objectives,dominance_relation_numerically_fragile
H07,C07,INCOMPARABLE,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.026511805459522943,0.22338322638493963,0.5306495452737388,-0.04966074464411674,0.036010667195238294,0.1001474795913696,0.04966074464411674,0.036010667195238294,0.1001474795913696,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H07,C08,INCOMPARABLE,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.018219453240328243,0.2547257477103099,0.6152099405567468,-0.057953096863311446,0.06735318852060859,0.18470787487437768,0.057953096863311446,0.06735318852060859,0.18470787487437768,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H07,C09,INCOMPARABLE,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.06592893450793702,0.1898535301772997,0.43793525200889427,-0.010243615595702665,0.002480970987598363,0.007433186326525121,0.010243615595702665,0.002480970987598363,0.007433186326525121,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H08,C01,INCOMPARABLE,0.017309193030289972,0.25205272041996435,0.6081095946589916,0.015163555853391462,0.2712071587404825,0.6595831664180842,-0.0021456371768985103,0.019154438320518163,0.05147357175909262,0.0021456371768985103,0.019154438320518163,0.05147357175909262,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H08,C02,INCOMPARABLE,0.017309193030289972,0.25205272041996435,0.6081095946589916,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.07821607867425212,-0.06733295512510581,-0.18624780616333614,0.07821607867425212,0.06733295512510581,0.18624780616333614,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H08,C03,INCOMPARABLE,0.017309193030289972,0.25205272041996435,0.6081095946589916,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.08037322291579943,-0.0673002293716822,-0.18633491927934925,0.08037322291579943,0.0673002293716822,0.18633491927934925,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H08,C04,INCOMPARABLE,0.017309193030289972,0.25205272041996435,0.6081095946589916,0.035509414628851016,0.19958292469520714,0.4662395996524617,0.018200221598561044,-0.05246979572475721,-0.14186999500652991,0.018200221598561044,0.05246979572475721,0.14186999500652991,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H08,C05,INCOMPARABLE,0.017309193030289972,0.25205272041996435,0.6081095946589916,0.028886799370315748,0.21733365919792744,0.5142727514952378,0.011577606340025776,-0.03471906122203691,-0.09383684316375385,0.011577606340025776,0.03471906122203691,0.09383684316375385,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H08,C06,INCOMPARABLE,0.017309193030289972,0.25205272041996435,0.6081095946589916,0.02239970549598287,0.2413384494217395,0.5790487923268146,0.005090512465692896,-0.010714270998224862,-0.029060802332177005,0.005090512465692896,0.010714270998224862,0.029060802332177005,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H08,C07,INCOMPARABLE,0.017309193030289972,0.25205272041996435,0.6081095946589916,0.026511805459522943,0.22338322638493963,0.5306495452737388,0.009202612429232971,-0.028669494035024723,-0.07746004938525286,0.009202612429232971,0.028669494035024723,0.07746004938525286,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
